question_001|Türkiye Cumhuriyeti vatandaşı mısınız? Evet. - Hayır.|Türkiye Cumhuriyeti vatandaşı mısınız? Evet. - Hayır.
question_002|Yaşadığınız ili öğrenebilir miyim?|Yaşadığınız ili öğrenebilir miyim?
question_003|Yaşınızı öğrenebilir miyim?|Yaşınızı öğrenebilir miyim?
question_004|Türkiye'nin genel gidişatını nasıl görüyorsunuz? Seçenekler: İyiye gidiyor. - Kötüye gidiyor. - Aynı kalacak.|Türkiye'nin genel gidişatını nasıl görüyorsunuz? Seçenekler: İyiye gidiyor. - Kötüye gidiyor. - Aynı kalacak.
question_006|Türkiye'nin ekonomik gidişatını nasıl buluyorsunuz? Seçenekler: İyiye gidiyor. - Kötüye gidiyor. - Aynı kalacak.|Türkiye'nin ekonomik gidişatını nasıl buluyorsunuz? Seçenekler: İyiye gidiyor. - Kötüye gidiyor. - Aynı kalacak.
question_007|Cumhurbaşkanı Recep Tayyip Erdoğan'ın performansını genel olarak nasıl buluyorsunuz? Seçenekler: Başarılı. - Başarısız. - Fikrim yok.|Cumhurbaşkanı Recep Tayyip Erdoğan'ın performansını genel olarak nasıl buluyorsunuz? Seçenekler: Başarılı. - Başarısız. - Fikrim yok.
question_008|Hükümetin asgari ücrete yaptığı artışa yönelik kanaatiniz nedir? Seçenekler: Yeterli bir artıştı. - Yetersiz bir artıştı. - Fikrim yok.|Hükümetin asgari ücrete yaptığı artışa yönelik kanaatiniz nedir? Seçenekler: Yeterli bir artıştı. - Yetersiz bir artıştı. - Fikrim yok.
question_011|Hükümetin memur ve emekli ücretlerinde yaptığı artışa yönelik kanaatiniz nedir? Seçenekler: Yeterli bir artıştı. - Yetersiz bir artıştı. - Fikrim yok.|Hükümetin memur ve emekli ücretlerinde yaptığı artışa yönelik kanaatiniz nedir? Seçenekler: Yeterli bir artıştı. - Yetersiz bir artıştı. - Fikrim yok.
question_013|Önümüzdeki ay maaşınız veya hiçbir geliriniz olmazsa ne kadar süre idare edebilirsiniz? Seçenekler: Hiç idare edemem. - Bir ay idare ederim. - 2-3 ay idare ederim. - 3 aydan fazla idare ederim. - Cevap vermek istemiyorum.|Önümüzdeki ay maaşınız veya hiçbir geliriniz olmazsa ne kadar süre idare edebilirsiniz? Seçenekler: Hiç idare edemem. - Bir ay idare ederim. - 2-3 ay idare ederim. - 3 aydan fazla idare ederim. - Cevap vermek istemiyorum.
question_016|Sizce bu sene enflasyon nasıl bir seyir izleyecek? Seçenekler: Enflasyon artacak. - Enflasyon azalacak. - Aynı kalacak. - Fikrim yok.|Sizce bu sene enflasyon nasıl bir seyir izleyecek? Seçenekler: Enflasyon artacak. - Enflasyon azalacak. - Aynı kalacak. - Fikrim yok.
question_017|Hükümetin yaşanmakta olan ekonomik sorunları çözeceğine inanıyor musunuz? Seçenekler: İnanıyorum. - İnanmıyorum. - Fikrim yok.|Hükümetin yaşanmakta olan ekonomik sorunları çözeceğine inanıyor musunuz? Seçenekler: İnanıyorum. - İnanmıyorum. - Fikrim yok.
