question_001|Türkiye Cumhuriyeti vatandaşı mısınız? Evet. - Hayır.|Türkiye Cumhuriyeti vatandaşı mısınız? Evet. - Hayır.
question_002|Yaşadığınız ili öğrenebilir miyim?|Yaşadığınız ili öğrenebilir miyim?
question_003|Yaşınızı öğrenebilir miyim?|Yaşınızı öğrenebilir miyim?
question_004|Türkiyenin genel gidişatını nasıl görüyorsunuz? Seçenekler: İyiye gidiyor. - Kötüye gidiyor. - Aynı kalacak.|Türkiye'nin genel gidişatını nasıl görüyorsunuz? Seçenekler: İyiye gidiyor. - Kötüye gidiyor. - Aynı kalacak.
question_006|Türkiyenin ekonomik gidişatını nasıl buluyorsunuz? Seçenekler: İyiye gidiyor. - Kötüye gidiyor. - Aynı kalacak.|Türkiye'nin ekonomik gidişatını nasıl buluyorsunuz? Seçenekler: İyiye gidiyor. - Kötüye gidiyor. - Aynı kalacak.
question_007|Cumhurbaşkanı Recep Tayyip Erdoğanın performansını genel olarak nasıl buluyorsunuz? Seçenekler: Başarılı. - Başarısız. - Fikrim yok.|Cumhurbaşkanı Recep Tayyip Erdoğan'ın performansını genel olarak nasıl buluyorsunuz? Seçenekler: Başarılı. - Başarısız. - Fikrim yok.
question_008|Hükümetin asgari ücrete yaptığı artışa yönelik kanaatiniz nedir? Seçenekler: Yeterli bir artıştı. - Yetersiz bir artıştı. - Fikrim yok.|Hükümetin asgari ücrete yaptığı artışa yönelik kanaatiniz nedir? Seçenekler: Yeterli bir artıştı. - Yetersiz bir artıştı. - Fikrim yok.
question_011|Hükümetin memur ve emekli ücretlerinde yaptığı artışa yönelik kanaatiniz nedir? Seçenekler: Yeterli bir artıştı. - Yetersiz bir artıştı. - Fikrim yok.|Hükümetin memur ve emekli ücretlerinde yaptığı artışa yönelik kanaatiniz nedir? Seçenekler: Yeterli bir artıştı. - Yetersiz bir artıştı. - Fikrim yok.
question_013|Önümüzdeki ay maaşınız veya hiçbir geliriniz olmazsa ne kadar süre idare edebilirsiniz? Seçenekler: Hiç idare edemem. - Bir ay idare ederim. - 2-3 ay idare ederim. - 3 aydan fazla idare ederim. - Cevap vermek istemiyorum.|Önümüzdeki ay maaşınız veya hiçbir geliriniz olmazsa ne kadar süre idare edebilirsiniz? Seçenekler: Hiç idare edemem. - Bir ay idare ederim. - 2-3 ay idare ederim. - 3 aydan fazla idare ederim. - Cevap vermek istemiyorum.
question_016|Sizce bu sene enflasyon nasıl bir seyir izleyecek? Seçenekler: Enflasyon artacak. - Enflasyon azalacak. - Aynı kalacak. - Fikrim yok.|Sizce bu sene enflasyon nasıl bir seyir izleyecek? Seçenekler: Enflasyon artacak. - Enflasyon azalacak. - Aynı kalacak. - Fikrim yok.
question_017|Hükümetin yaşanmakta olan ekonomik sorunları çözeceğine inanıyor musunuz? Seçenekler: İnanıyorum. - İnanmıyorum. - Fikrim yok.|Hükümetin yaşanmakta olan ekonomik sorunları çözeceğine inanıyor musunuz? Seçenekler: İnanıyorum. - İnanmıyorum. - Fikrim yok.
question_024|Sizce Türkiyenin Suriyeli sığınmacılara yönelik politikası ne olmalıdır?|Sizce Türkiye'nin Suriyeli sığınmacılara yönelik politikası ne olmalıdır?
question_025|Hemen Suriyeye gönderilmeliler, Suriyede koşullar düzeldikten sonra Suriyeye gönderilmeliler, İsteyen Türkiyede kalabilmeli, Fikrim yok, Diğer|Hemen Suriye'ye gönderilmeliler, Suriye'de koşullar düzeldikten sonra Suriye'ye gönderilmeliler, İsteyen Türkiye'de kalabilmeli, Fikrim yok, Diğer
question_027|Esad rejiminin devrilmesi sonrası ee Türkiyedeki Suriyelilerin dönme ihtimaline dair kanaatiniz nedir?|Esad rejiminin devrilmesi sonrası ee Türkiye'deki Suriyelilerin dönme ihtimaline dair kanaatiniz nedir?
question_028|Seçenekler: Çoğu döner, Az bir kısmı döner, Fikrim yok|Seçenekler: Çoğu döner, Az bir kısmı döner, Fikrim yok
question_029|Esad rejiminin yıkılması sonrası kurulan yeni yönetime dair kanaatiniz nedir?|Esad rejiminin yıkılması sonrası kurulan yeni yönetime dair kanaatiniz nedir?
question_031|Yeni çözüm süreci çerçevesinde DEM Parti heyeti Öcalanla görüştü. Buna yönelik kanaatiniz nedir?|Yeni çözüm süreci çerçevesinde DEM Parti heyeti Öcalan ile görüştü. Buna yönelik kanaatiniz nedir?
question_033|Yeni çözüm süreci çerçevesinde DEM Parti heyeti diğer partilerle görüşmeler gerçekleştirdi. Buna yönelik kanaatiniz nedir?|Yeni çözüm süreci çerçevesinde DEM Parti heyeti diğer partilerle görüşmeler gerçekleştirdi. Buna yönelik kanaatiniz nedir?
question_035|Pekakanın silah bırakması için başlatılan yeni çözüm sürecine yönelik kanaatiniz nedir?|PKK’nın silah bırakması için başlatılan yeni çözüm sürecine yönelik kanaatiniz nedir?
question_041|Sizce demokrasi Türkiyenin geleceğiçin ne kadar önemli?|Sizce demokrasi Türkiye'nin geleceği için ne kadar önemli?
question_043|Demokrasi bazı sorunlara sahip olabilir, ancak diğer yönetim biçimlerinden daha iyidir.|Demokrasi bazı sorunlara sahip olabilir, ancak diğer yönetim biçimlerinden daha iyidir.
